iter	RMSE
0	0.3472514721
1	0.3009922833
2	0.2651180394
3	0.2380533386
4	0.215910715
5	0.1978200476
6	0.1824775993
7	0.1689690547
8	0.1585913648
9	0.1499615824
10	0.1421983613
11	0.1368248049
12	0.1318873218
13	0.1277952284
14	0.1237434438
15	0.1208198429
16	0.1176805261
17	0.1146090842
18	0.1124613317
19	0.1106446525
20	0.108649305
21	0.1073444567
22	0.1060745286
23	0.1046737362
24	0.1034469994
25	0.102071683
26	0.1012608129
27	0.1004216705
28	0.09976092194
29	0.09891190929
30	0.09822710857
31	0.09719357493
32	0.0966004344
33	0.09601198607
34	0.09515587001
35	0.09422980102
36	0.09389146601
37	0.09363303082
38	0.09333707088
39	0.09189157488
40	0.09071133012
41	0.09037315053
42	0.09003477675
43	0.08881221165
44	0.08845673135
45	0.08747612544
46	0.08636757794
47	0.0855689535
48	0.0845598713
49	0.08354976124
50	0.08196817254
51	0.08100132046
52	0.08016871252
53	0.07929280627
54	0.078495905
55	0.07829676859
56	0.0774958433
57	0.07711270746
58	0.0764134398
59	0.07624604919
60	0.07515863659
61	0.07474003789
62	0.07409985527
63	0.07330458925
64	0.07256382443
65	0.07187189005
66	0.07106827918
67	0.07021141807
68	0.06934268687
69	0.0691584008
70	0.06847566383
71	0.06831162715
72	0.06751666346
73	0.06741810762
74	0.06687292414
75	0.06598694865
76	0.06534095987
77	0.06452904082
78	0.06408430477
79	0.0637762713
80	0.0629930993
81	0.06266704095
82	0.06258289027
83	0.06238838421
84	0.0616372272
85	0.06102309534
86	0.0609349285
87	0.06045154827
88	0.06030530217
89	0.05947805074
90	0.05865698133
91	0.05794741798
92	0.05781679397
93	0.05743734371
94	0.05694396024
95	0.05655549262
96	0.05614570582
97	0.0552937174
98	0.05514404356
99	0.05504557519
100	0.05438928816
101	0.05433287222
102	0.05404652269
103	0.0537342491
104	0.05317201143
105	0.05265343907
106	0.05198110098
107	0.05137956127
108	0.05126436816
109	0.05088458056
110	0.05046586654
111	0.04993753877
112	0.0494957435
113	0.04880517288
114	0.0483202435
115	0.04787534438
116	0.04777239203
117	0.04737359359
118	0.04696586797
119	0.04662918234
120	0.04626688665
121	0.04621898531
122	0.04576627999
123	0.04572918586
124	0.04552057856
125	0.04506925473
126	0.04499912589
127	0.04457185546
128	0.04405811718
129	0.04369764461
130	0.04321100268
131	0.04276268351
132	0.04271942428
133	0.04232038914
134	0.04226389376
135	0.04187289388
136	0.04175358817
137	0.04159363511
138	0.04117574923
139	0.04059519969
140	0.04051127641
141	0.04007855226
142	0.03978211698
143	0.03972360826
144	0.0394215419
145	0.03937842073
146	0.03903450926
147	0.03876239834
148	0.03851816216
149	0.03838011957
150	0.03809527629
151	0.03793509614
152	0.03787264212
153	0.03779122155
154	0.03772074463
155	0.03746647568
156	0.03713800002
157	0.03668358637
158	0.03628871037
159	0.03625086425
160	0.0362178148
161	0.03617239231
162	0.03596776575
163	0.03591788563
164	0.03559043609
165	0.03546022722
166	0.03531099218
167	0.03507777755
168	0.03506020629
169	0.0349367397
170	0.03452463229
171	0.03419583887
172	0.03399708498
173	0.0335607267
174	0.03318276534
175	0.03285575106
176	0.03233813257
177	0.03198255279
178	0.03180556334
179	0.03178699176
180	0.03171570733
181	0.03150909365
182	0.03106936655
183	0.03086737455
184	0.03078241283
185	0.03075111025
186	0.03051202736
187	0.03026762004
188	0.03004939385
189	0.02983413224
190	0.02971778105
191	0.02945043721
192	0.02942978705
193	0.02941077999
194	0.02908107663
195	0.02875858059
196	0.02850368233
197	0.0282738821
198	0.02806820713
199	0.02778366782
200	0.02755585891
201	0.02743165763
202	0.02733277405
203	0.02711916245
204	0.02690601476
205	0.02665010123
206	0.02648561982
207	0.02645981549
208	0.02636874968
209	0.02612412717
210	0.02594102905
211	0.02572079053
212	0.02550184186
213	0.02545386812
214	0.02524338914
215	0.02513744683
